P,Gender,Political,VoluntHr,Alcohol,CRT,Empathy,Extrovert,ClimHarm,CauseClim,SciClim,KnowClim,WorryClim.Y
95,Female,Democrat,10,4,2,2,6,5,1,1,3,2
96,Male,Democrat,10,2,0,2,5,4,2,1,2,2
97,Male,Republican,40,2,0,2,7,2,1,1,1,1
98,Male,No party,10,2,2,2,1,4,1,1,3,3
99,Female,Democrat,40,4,2,2,7,5,1,1,4,3
100,Male,No party,8,3,1,3,5,4,1,1,2,3
101,Female,No party,12,4,0,1,3,5,1,1,2,2
102,Female,No party,10,3,3,2,1,5,1,1,4,5
103,Male,Republican,20,3,3,3,1,3,1,1,2,2
104,Female,Democrat,0,3,3,4,5,3,1,1,3,4
105,Male,Democrat,50,1,3,2,2,5,1,1,3,4
106,Female,Democrat,50,3,3,1,6,4,1,1,2,4
107,Female,No party,0,2,0,4,1,5,1,1,2,3
108,Female,Independent,20,3,0,2,5,5,1,1,3,4
109,Female,Democrat,6,2,2,4,2,4,1,1,3,4
110,Male,Republican,4,2,1,2,4,2,2,1,2,1
111,Female,Democrat,40,2,0,2,2,5,1,1,4,4
112,Female,Democrat,5,1,1,2,2,5,1,1,2,4
113,Female,Democrat,50,3,0,3,3,5,1,1,4,5
114,Male,No party,50,3,1,2,5,2,2,1,3,3
115,Female,Republican,10,4,1,2,3,5,1,1,1,2
116,Female,Libertarian,5,2,2,2,2,4,1,1,3,4
117,Male,Democrat,20,2,3,3,5,5,1,1,3,3
118,Female,No party,0,3,0,2,7,5,1,1,2,4
119,Female,Independent,8,2,0,2,2,5,1,1,3,4
120,Male,Democrat,50,2,0,2,6,5,1,1,3,4
121,Female,Republican,15,3,0,3,3,3,2,1,2,2
122,Female,Republican,75,4,0,3,4,5,1,3,3,3
123,Female,Democrat,30,2,1,2,6,5,1,1,3,4
124,Female,Democrat,0,2,0,2,5,4,1,1,3,3
125,Male,No party,0,1,3,4,5,2,2,3,2,2
126,Female,Independent,30,2,3,2,3,4,1,1,3,4
127,Female,Independent,1,3,0,5,7,5,1,1,4,5
128,Female,No party,15,2,0,2,2,4,1,1,3,3
