P,Gender,Live,Political,WorryClim,StressClim,VoluntHr,Meat,Alcohol,CRT,Empathy,Profound,Extrovert,Anxious,ClimHarm,CauseClim,SciClim,KnowClim,ConcernDV,DonateDV,SaliencyIV,InfoIV,calcCRT
73,Female,Small city or town,Democrat,4,4,32,3,4,2,2,3,2,6,4,1,1,3,5,25,Low,Number,High
74,Female,Small city or town,Democrat,4,5,15,2,2,3,3,2,2,4,5,1,1,3,5,10,Low,Number,High
75,Female,Small city or town,Independent,5,5,5,4,2,1,2,3,6,4,5,1,1,3,5,20,Low,Number,Low
76,Female,Small city or town,Republican,3,3,100,1,4,2,1,5,1,6,5,2,1,3,5,10,Low,Number,High
77,Female,Suburb near a large city,Democrat,4,5,5,4,4,0,4,3,3,4,5,1,1,4,5,20,Low,Number,Low
78,Female,Small city or town,Republican,3,3,1000,2,3,2,3,4,7,5,5,1,1,2,2,15,Low,Number,High
79,Male,Small city or town,Democrat,3,5,4,1,3,1,3,2,3,5,5,1,1,4,5,10,Low,Number,Low
80,Male,Small city or town,Republican,3,3,0,1,3,0,1,2,5,5,4,1,1,2,4,10,Low,Number,Low
81,Female,Suburb near a large city,Democrat,4,4,12,2,2,0,2,3,3,5,5,1,1,4,3,10,Low,Number,Low
82,Female,Large city,No party,3,4,,3,4,0,2,2,5,3,4,1,1,2,3,10,Low,Number,Low
83,Female,Suburb near a large city,Democrat,3,3,0,1,2,0,3,4,4,5,4,1,1,2,4,10,Low,Number,Low
84,Female,Large city,No party,4,4,24,4,4,0,5,5,7,5,5,1,1,3,5,20,Low,Number,Low
85,Male,Suburb near a large city,Democrat,2,1,6,1,4,0,3,1,5,5,3,1,1,1,2,0,Low,Number,Low
86,Male,Rural area,Republican,3,1,100,1,2,1,3,3,2,2,3,1,1,3,2,0,Low,Number,Low
87,Female,Small city or town,Independent,3,3,20,3,3,1,4,1,2,5,4,1,1,3,4,10,Low,Number,Low
88,Female,Small city or town,No party,2,2,20,3,4,0,5,3,1,7,4,2,2,2,2,15,Low,Number,Low
89,Female,Large city,Democrat,3,4,30,2,4,2,2,5,3,5,5,1,1,3,3,10,Low,Number,High
90,Female,Suburb near a large city,Democrat,4,5,50,4,4,2,3,5,3,6,5,1,1,4,4,25,Low,Number,High
91,Female,Rural area,No party,3,3,0,1,3,1,2,2,4,6,4,1,1,2,4,10,Low,Number,Low
92,Male,Large city,Libertarian,3,4,20,1,2,0,3,1,7,5,5,1,1,4,3,0,Low,Number,Low
93,Male,Suburb near a large city,Democrat,4,5,12,1,2,3,2,3,3,2,3,1,1,3,4,5,Low,Number,High
94,Female,Suburb near a large city,Democrat,4,3,35,2,3,0,2,3,2,6,5,1,1,3,4,15,Low,Number,Low
95,Female,Large city,Democrat,2,2,10,3,4,2,2,5,6,7,5,1,1,3,4,10,Low,Number,High
96,Male,Large city,Democrat,2,2,10,2,2,0,2,2,5,4,4,2,1,2,3,0,Low,Text,Low
97,Male,Suburb near a large city,Republican,1,1,40,1,2,0,2,2,7,5,2,1,1,1,2,0,Low,Text,Low
98,Male,Small city or town,No party,3,3,10,2,2,2,2,2,1,6,4,1,1,3,3,5,Low,Text,High
99,Female,Small city or town,Democrat,3,3,40,2,4,2,2,3,7,2,5,1,1,4,5,5,Low,Text,High
100,Male,Suburb near a large city,No party,3,3,8,2,3,1,3,3,5,6,4,1,1,2,3,0,Low,Text,Low
101,Female,Suburb near a large city,No party,2,4,12,3,4,0,1,3,3,7,5,1,1,2,4,5,Low,Text,Low
102,Female,Small city or town,No party,5,4,10,3,3,3,2,4,1,5,5,1,1,4,5,25,Low,Text,High
103,Male,Suburb near a large city,Republican,2,2,20,2,3,3,3,5,1,6,3,1,1,2,2,5,Low,Text,High
104,Female,Small city or town,Democrat,4,3,0,3,3,3,4,3,5,5,3,1,1,3,4,10,Low,Text,High
105,Male,Suburb near a large city,Democrat,4,4,50,1,1,3,2,3,2,4,5,1,1,3,4,10,Low,Text,High
106,Female,Small city or town,Democrat,4,5,50,2,3,3,1,4,6,6,4,1,1,2,4,15,Low,Text,High
107,Female,Small city or town,No party,3,2,0,1,2,0,4,3,1,4,5,1,1,2,4,5,Low,Text,Low
108,Female,Rural area,Independent,4,5,20,3,3,0,2,3,5,3,5,1,1,3,5,15,Low,Text,Low
109,Female,Small city or town,Democrat,4,5,6,1,2,2,4,2,2,7,4,1,1,3,4,15,Low,Text,High
110,Male,Rural area,Republican,1,1,4,1,2,1,2,4,4,4,2,2,1,2,2,0,Low,Text,Low
111,Female,Small city or town,Democrat,4,5,40,4,2,0,2,3,2,6,5,1,1,4,4,25,Low,Text,Low
112,Female,Rural area,Democrat,4,4,5,1,1,1,2,3,2,6,5,1,1,2,5,15,Low,Text,Low
113,Female,Small city or town,Democrat,5,5,50,2,3,0,3,3,3,4,5,1,1,4,5,5,Low,Text,Low
114,Male,Small city or town,No party,3,2,50,1,3,1,2,2,5,5,2,2,1,3,2,5,Low,Text,Low
115,Female,Small city or town,Republican,2,3,10,2,4,1,2,3,3,4,5,1,1,1,3,10,Low,Text,Low
116,Female,Small city or town,Libertarian,4,5,5,2,2,2,2,2,2,4,4,1,1,3,5,10,Low,Text,High
117,Male,Suburb near a large city,Democrat,3,5,20,3,2,3,3,3,5,4,5,1,1,3,3,5,Low,Text,High
118,Female,Small city or town,No party,4,3,0,2,3,0,2,3,7,6,5,1,1,2,3,0,Low,Text,Low
119,Female,Suburb near a large city,Independent,4,4,8,2,2,0,2,4,2,2,5,1,1,3,3,5,Low,Text,Low
120,Male,Rural area,Democrat,4,3,50,1,2,0,2,4,6,5,5,1,1,3,4,0,Low,Text,Low
121,Female,Rural area,Republican,2,1,15,1,3,0,3,2,3,3,3,2,1,2,2,5,Low,Text,Low
122,Female,Suburb near a large city,Republican,3,3,75,2,4,0,3,4,4,3,5,1,3,3,3,10,Low,Text,Low
123,Female,Suburb near a large city,Democrat,4,5,30,3,2,1,2,4,6,5,5,1,1,3,4,25,Low,Text,Low
124,Female,Small city or town,Democrat,3,3,0,4,2,0,2,3,5,5,4,1,1,3,3,10,Low,Text,Low
125,Male,Small city or town,No party,2,2,0,1,1,3,4,1,5,1,2,2,3,2,3,0,Low,Text,High
126,Female,Suburb near a large city,Independent,4,3,30,2,2,3,2,3,3,3,4,1,1,3,4,15,Low,Text,High
127,Female,Suburb near a large city,Independent,5,5,1,1,3,0,5,5,7,7,5,1,1,4,5,25,Low,Text,Low
128,Female,Small city or town,No party,3,4,15,3,2,0,2,4,2,6,4,1,1,3,4,15,Low,Text,Low
